symbol,buy_date,sell_date,hold_days,entry_price,exit_price,qty,pnl_usd,pct_gain,exit_type
AMD,2025-05-07,2025-05-12,5,100.36,108.16,99,772.2,7.77,take_profit
AMD,2025-05-13,2025-06-09,27,112.43,121.8,91,852.67,8.33,take_profit
AMD,2025-06-09,2025-06-12,3,121.8,118.48,84,-278.88,-2.73,stop_loss
AMD,2025-06-17,2025-06-24,7,127.09,138.48,58,660.33,8.96,take_profit
AMD,2025-06-25,2025-07-01,6,143.41,136.09,72,-527.4,-5.11,stop_loss
AMD,2025-07-29,2025-08-01,3,177.42,171.71,57,-325.47,-3.22,stop_loss
AMD,2025-08-01,2025-08-06,5,171.71,163.08,59,-509.17,-5.03,stop_loss
AMD,2025-08-06,2025-08-12,6,163.08,174.93,62,734.7,7.27,take_profit
AMD,2025-08-13,2025-08-15,2,184.41,177.51,55,-379.5,-3.74,stop_loss
AMD,2025-10-06,2025-10-08,2,203.69,235.47,50,1588.75,15.6,take_profit
AMD,2025-10-08,2025-10-10,2,235.47,214.75,45,-932.4,-8.8,stop_loss
AMD,2025-10-10,2025-10-15,5,214.75,238.62,49,1169.63,11.12,take_profit
AMD,2025-11-12,2025-11-13,1,258.9,247.99,23,-250.93,-4.21,stop_loss
AMD,2026-01-21,2026-01-30,9,249.68,236.8,41,-528.08,-5.16,stop_loss
AMD,2026-04-24,2026-04-27,3,347.78,334.42,31,-414.16,-3.84,stop_loss
AMD,2026-05-04,2026-05-06,2,341.52,421.55,32,2560.96,23.43,take_profit
AMD,2026-05-06,2026-05-07,1,421.55,408.19,27,-360.59,-3.17,stop_loss
ARM,2025-05-08,2025-05-12,4,116.56,124.8,54,444.96,7.07,take_profit
ARM,2025-06-26,2025-07-02,6,158.1,154.66,65,-223.6,-2.18,stop_loss
ARM,2025-09-10,2025-09-12,2,154.02,150.55,36,-124.92,-2.25,stop_loss
ARM,2025-09-18,2025-09-19,1,146.5,142.87,55,-199.92,-2.48,stop_loss
ARM,2025-10-01,2025-10-08,7,150.36,166.7,66,1078.44,10.87,take_profit
ARM,2025-10-08,2025-10-10,2,166.7,154.84,35,-415.1,-7.11,stop_loss
ARM,2025-10-13,2025-10-14,1,171.94,168.1,48,-184.32,-2.23,stop_loss
ARM,2025-10-14,2025-10-27,13,168.1,178.63,38,400.14,6.26,take_profit
ARM,2026-02-06,2026-02-25,19,123.73,131.74,51,408.51,6.47,take_profit
ARM,2026-03-20,2026-03-25,5,132.45,157.06,28,689.22,18.58,take_profit
ARM,2026-03-26,2026-03-27,1,154.63,144.11,68,-715.7,-6.81,stop_loss
ARM,2026-03-27,2026-03-30,3,144.11,136.97,63,-449.82,-4.95,stop_loss
ARM,2026-04-23,2026-04-24,1,204.72,234.83,52,1565.72,14.71,take_profit
ARM,2026-04-27,2026-04-28,1,215.9,198.58,50,-866.0,-8.02,stop_loss
ARM,2026-04-28,2026-05-01,3,198.58,211.12,54,677.16,6.31,take_profit
ARM,2026-05-06,2026-05-07,1,237.34,213.24,48,-1156.8,-10.15,stop_loss
ARM,2026-05-07,2026-05-12,5,213.24,207.84,52,-280.8,-2.53,stop_loss
DELL,2025-05-12,2025-05-14,2,103.44,111.01,98,741.86,7.32,take_profit
DELL,2025-05-29,2025-05-30,1,113.55,111.27,91,-207.48,-2.01,stop_loss
DELL,2025-05-30,2025-06-02,3,111.27,108.06,92,-295.32,-2.88,stop_loss
DELL,2025-06-10,2025-06-13,3,113.26,109.56,57,-210.9,-3.27,stop_loss
DELL,2025-07-18,2025-07-22,4,131.23,124.36,66,-453.42,-5.24,stop_loss
DELL,2025-10-01,2025-10-03,2,149.66,140.72,69,-616.86,-5.97,stop_loss
DELL,2025-10-06,2025-10-08,2,145.78,164.53,71,1331.6,12.87,take_profit
DELL,2025-10-08,2025-10-09,1,164.53,155.92,65,-559.98,-5.24,stop_loss
DELL,2025-10-09,2025-10-10,1,155.92,150.54,68,-365.5,-3.45,stop_loss
DELL,2025-10-10,2025-10-27,17,150.54,162.24,70,818.65,7.77,take_profit
DELL,2026-02-27,2026-03-10,10,148.02,143.86,70,-291.2,-2.81,stop_loss
DELL,2026-03-20,2026-03-24,4,158.08,176.97,65,1228.17,11.95,take_profit
DELL,2026-03-31,2026-04-02,2,164.19,174.31,55,556.6,6.16,take_profit
