symbol,buy_date,sell_date,hold_days,entry_price,exit_price,qty,pnl_usd,pct_gain,exit_type
AMD,2026-01-16,2026-01-21,5,231.79,249.68,28,500.92,7.72,take_profit
AMD,2026-01-21,2026-01-30,9,249.68,236.8,28,-360.64,-5.16,stop_loss
AMD,2026-02-02,2026-02-04,2,246.2,200.16,26,-1197.04,-18.7,stop_loss
AMD,2026-02-09,2026-02-12,3,215.88,205.91,31,-309.07,-4.62,stop_loss
AMD,2026-02-17,2026-02-23,6,203.07,196.62,31,-199.95,-3.18,stop_loss
AMD,2026-02-24,2026-02-26,2,214.04,203.71,29,-299.57,-4.83,stop_loss
AMD,2026-03-03,2026-03-04,1,191.01,202.03,35,385.88,5.77,sell
AMD,2026-03-25,2026-03-26,1,220.28,203.74,29,-479.66,-7.51,stop_loss
AMD,2026-04-06,2026-04-09,3,220.17,236.64,30,494.1,7.48,take_profit
AMD,2026-04-09,2026-04-14,5,236.64,255.09,31,571.95,7.8,take_profit
AMD,2026-04-16,2026-04-22,6,278.25,303.46,22,554.51,9.06,take_profit
AMD,2026-04-30,2026-05-04,4,354.41,341.52,17,-219.13,-3.64,stop_loss
AMD,2026-05-05,2026-05-06,1,355.16,421.55,19,1261.41,18.69,take_profit
AMD,2026-05-14,2026-05-15,1,449.69,423.97,16,-411.6,-5.72,stop_loss
AMD,2026-05-15,2026-05-19,4,423.97,414.18,15,-146.85,-2.31,stop_loss
AMD,2026-05-26,2026-05-29,3,503.95,516.26,15,184.72,2.44,close_eob
ARM,2026-01-20,2026-01-21,1,107.14,113.88,60,404.4,6.29,take_profit
ARM,2026-01-22,2026-01-23,1,119.15,116.06,54,-166.86,-2.59,stop_loss
ARM,2026-02-05,2026-02-06,1,110.97,123.73,52,663.52,11.5,take_profit
ARM,2026-02-06,2026-02-25,19,123.73,131.74,49,392.49,6.47,take_profit
ARM,2026-03-02,2026-03-03,1,124.35,121.74,51,-133.11,-2.1,stop_loss
ARM,2026-03-03,2026-03-06,3,121.74,114.41,49,-359.17,-6.02,stop_loss
ARM,2026-03-10,2026-03-12,2,120.58,115.24,54,-288.09,-4.42,stop_loss
ARM,2026-03-16,2026-03-19,3,121.72,129.87,55,448.25,6.7,take_profit
ARM,2026-03-20,2026-03-25,5,132.45,157.06,47,1156.91,18.58,take_profit
ARM,2026-04-24,2026-04-27,3,234.83,215.9,27,-511.11,-8.06,stop_loss
ARM,2026-05-05,2026-05-06,1,208.74,237.34,37,1058.2,13.7,take_profit
ARM,2026-05-06,2026-05-07,1,237.34,213.24,30,-723.0,-10.15,stop_loss
ARM,2026-05-07,2026-05-12,5,213.24,207.84,32,-172.8,-2.53,stop_loss
ARM,2026-05-14,2026-05-15,1,228.55,209.14,34,-659.94,-8.49,stop_loss
ARM,2026-05-18,2026-05-20,2,215.33,256.95,28,1165.36,19.33,take_profit
ARM,2026-05-20,2026-05-21,1,256.95,298.13,27,1111.86,16.03,take_profit
ARM,2026-05-22,2026-05-28,6,306.42,335.19,23,661.71,9.39,take_profit
ARM,2026-05-28,2026-05-29,1,335.19,353.13,19,340.86,5.35,close_eob
DELL,2026-01-12,2026-01-20,8,120.48,111.11,52,-487.24,-7.78,stop_loss
DELL,2026-02-12,2026-02-20,8,112.83,122.22,55,516.45,8.32,take_profit
DELL,2026-02-23,2026-02-27,4,119.21,148.02,53,1526.93,24.17,take_profit
DELL,2026-03-30,2026-04-07,8,164.7,177.77,40,522.8,7.94,take_profit
DELL,2026-04-10,2026-04-13,3,177.88,189.78,37,440.3,6.69,take_profit
DELL,2026-04-14,2026-04-15,1,184.49,177.32,34,-243.78,-3.89,stop_loss
DELL,2026-04-15,2026-04-16,1,177.32,193.0,35,548.8,8.84,take_profit
DELL,2026-04-30,2026-05-06,6,208.84,238.79,30,898.5,14.34,take_profit
DELL,2026-05-14,2026-05-15,1,247.83,242.11,28,-160.16,-2.31,stop_loss
DELL,2026-05-15,2026-05-19,4,242.11,235.56,25,-163.75,-2.71,stop_loss
DELL,2026-05-20,2026-05-22,2,242.97,295.23,28,1463.14,21.51,take_profit
DELL,2026-05-28,2026-05-29,1,317.6,421.61,24,2496.24,32.75,take_profit
DELL,2026-05-29,2026-05-29,0,421.61,421.61,18,0.0,0.0,close_eob
MRVL,2026-01-20,2026-02-03,14,79.78,75.56,75,-317.25,-5.3,stop_loss
MRVL,2026-02-03,2026-02-04,1,75.56,73.73,83,-151.48,-2.42,stop_loss
MRVL,2026-02-05,2026-02-06,1,74.22,80.31,85,518.07,8.21,take_profit
MRVL,2026-02-09,2026-02-11,2,82.34,81.31,73,-74.83,-1.24,sell
MRVL,2026-02-17,2026-03-05,16,79.07,75.77,75,-247.5,-4.17,stop_loss
MRVL,2026-03-11,2026-03-12,1,90.42,87.69,69,-188.71,-3.02,stop_loss
MRVL,2026-03-18,2026-03-23,5,87.61,90.15,71,180.34,2.9,sell
MRVL,2026-04-14,2026-04-20,6,133.83,147.88,50,702.5,10.5,take_profit
MRVL,2026-04-20,2026-04-22,2,147.88,157.34,42,397.32,6.4,take_profit
MRVL,2026-04-22,2026-04-28,6,157.34,153.11,50,-211.5,-2.69,stop_loss
MRVL,2026-05-11,2026-05-12,1,170.82,164.53,39,-245.11,-3.68,stop_loss
MRVL,2026-05-12,2026-05-13,1,164.53,177.96,39,523.58,8.16,take_profit
MRVL,2026-05-18,2026-05-20,2,168.98,186.88,37,662.3,10.59,take_profit
MRVL,2026-05-26,2026-05-27,1,208.22,198.69,37,-352.61,-4.58,stop_loss
MRVL,2026-05-28,2026-05-29,1,204.62,205.11,33,16.17,0.24,close_eob
MU,2026-01-22,2026-01-26,4,397.6,389.07,15,-127.95,-2.15,stop_loss
MU,2026-01-26,2026-01-28,2,389.07,435.1,16,736.48,11.83,take_profit
MU,2026-01-29,2026-01-30,1,435.93,414.98,14,-293.37,-4.81,stop_loss
MU,2026-01-30,2026-02-04,5,414.98,379.53,14,-496.23,-8.54,stop_loss
MU,2026-02-05,2026-02-10,5,382.93,373.19,17,-165.58,-2.54,stop_loss
MU,2026-02-10,2026-02-11,1,373.19,410.06,16,589.92,9.88,take_profit
MU,2026-02-11,2026-02-17,6,410.06,399.87,15,-152.92,-2.49,stop_loss
MU,2026-02-17,2026-02-20,3,399.87,428.18,15,424.72,7.08,take_profit
MU,2026-03-03,2026-03-06,3,379.78,370.38,18,-169.29,-2.48,stop_loss
MU,2026-03-06,2026-03-10,3,370.38,403.45,20,661.5,8.93,take_profit
MU,2026-03-16,2026-03-20,4,441.87,422.87,13,-247.0,-4.3,stop_loss
MU,2026-03-24,2026-03-25,1,395.6,382.1,16,-215.92,-3.41,stop_loss
MU,2026-03-25,2026-03-26,1,382.1,355.56,21,-557.45,-6.95,stop_loss
MU,2026-03-26,2026-03-30,4,355.56,322.05,18,-603.18,-9.42,stop_loss
MU,2026-03-31,2026-04-01,1,337.53,367.89,17,516.12,8.99,take_profit
MU,2026-04-01,2026-04-08,7,367.89,406.72,20,776.6,10.55,take_profit
MU,2026-04-08,2026-04-10,2,406.72,420.64,16,222.72,3.42,sell
MU,2026-04-28,2026-05-01,3,504.25,542.26,13,494.13,7.54,take_profit
MU,2026-05-06,2026-05-07,1,666.83,646.5,10,-203.3,-3.05,stop_loss
MU,2026-05-13,2026-05-14,1,803.17,775.9,8,-218.12,-3.39,stop_loss
MU,2026-05-14,2026-05-15,1,775.9,724.09,8,-414.52,-6.68,stop_loss
MU,2026-05-19,2026-05-21,2,699.06,761.74,9,564.12,8.97,take_profit
MU,2026-05-21,2026-05-26,5,761.74,896.85,8,1080.88,17.74,take_profit
NOW,2026-01-08,2026-01-09,1,146.37,141.76,41,-188.81,-3.15,stop_loss
NOW,2026-01-12,2026-01-13,1,142.6,138.17,46,-203.78,-3.11,stop_loss
