symbol,buy_date,sell_date,hold_days,entry_price,exit_price,qty,pnl_usd,pct_gain,exit_type
AMD,2025-06-24,2025-07-01,7,138.48,136.09,68,-162.52,-1.73,sell
AMD,2025-07-15,2025-07-22,7,155.66,154.72,58,-54.52,-0.6,sell
AMD,2025-07-29,2025-07-31,2,177.42,176.32,52,-57.2,-0.62,sell
AMD,2025-10-06,2025-10-08,2,203.69,235.47,50,1588.75,15.6,take_profit
AMD,2026-04-16,2026-04-20,4,278.25,275.02,37,-119.7,-1.16,sell
AMD,2026-04-24,2026-04-27,3,347.78,334.42,30,-400.8,-3.84,stop_loss
AMD,2026-05-06,2026-05-07,1,421.55,408.19,25,-333.88,-3.17,stop_loss
ARM,2025-06-17,2025-06-24,7,144.69,156.41,64,750.08,8.1,take_profit
ARM,2025-09-10,2025-09-12,2,154.02,150.55,59,-204.73,-2.25,stop_loss
ARM,2025-10-13,2025-10-14,1,171.94,168.1,60,-230.4,-2.23,stop_loss
ARM,2026-02-06,2026-02-12,6,123.73,122.22,73,-110.23,-1.22,sell
ARM,2026-04-22,2026-04-24,2,196.61,234.83,52,1987.44,19.44,take_profit
ARM,2026-05-21,2026-05-26,5,298.13,321.33,36,835.2,7.78,take_profit
DELL,2025-10-01,2025-10-02,1,149.66,147.45,64,-141.44,-1.48,sell
DELL,2025-10-08,2025-10-09,1,164.53,155.92,63,-542.75,-5.24,stop_loss
DELL,2026-05-26,2026-05-29,3,304.96,421.61,35,4082.75,38.25,take_profit
MRVL,2025-06-18,2025-06-20,2,74.94,73.51,125,-178.75,-1.91,sell
MRVL,2025-07-30,2025-07-31,1,81.78,80.34,117,-168.48,-1.76,sell
MRVL,2025-09-24,2025-10-02,8,80.06,86.2,125,768.12,7.68,take_profit
MRVL,2025-12-03,2025-12-04,1,100.22,98.2,101,-204.02,-2.02,stop_loss
MRVL,2026-04-08,2026-04-10,2,114.45,128.44,89,1245.11,12.22,take_profit
MRVL,2026-04-14,2026-04-16,2,133.83,133.29,77,-41.58,-0.4,sell
MU,2025-05-12,2025-05-16,4,92.31,98.06,100,575.0,6.23,take_profit
MU,2025-06-24,2025-06-25,1,127.87,127.32,74,-40.7,-0.43,sell
MU,2025-08-11,2025-08-15,4,123.73,120.82,76,-221.16,-2.35,stop_loss
MU,2025-09-05,2025-09-10,5,131.37,139.99,71,612.02,6.56,take_profit
MU,2025-09-12,2025-09-18,6,157.21,168.89,64,747.52,7.43,take_profit
MU,2025-11-10,2025-11-11,1,253.22,241.15,38,-458.85,-4.77,stop_loss
MU,2025-12-19,2025-12-24,5,265.86,286.65,36,748.44,7.82,take_profit
MU,2026-01-06,2026-01-07,1,343.51,338.75,29,-138.04,-1.39,sell
MU,2026-01-16,2026-01-21,5,362.8,388.99,26,680.81,7.22,take_profit
MU,2026-05-05,2026-05-08,3,640.34,747.1,16,1708.16,16.67,take_profit
MU,2026-05-11,2026-05-12,1,795.33,765.8,13,-383.83,-3.71,stop_loss
NOW,2025-04-24,2025-04-28,4,939.49,937.86,10,-16.3,-0.17,sell
NVDA,2025-05-14,2025-05-15,1,135.35,134.91,72,-31.68,-0.33,sell
NVDA,2025-05-29,2025-05-30,1,139.18,134.89,61,-261.69,-3.08,stop_loss
NVDA,2025-07-09,2025-07-17,8,162.83,173.09,55,564.02,6.3,take_profit
NVDA,2025-10-29,2025-10-30,1,207.03,202.9,46,-190.21,-2.0,sell
PLTR,2025-07-14,2025-07-15,1,149.16,148.54,63,-39.06,-0.42,sell
PLTR,2025-08-05,2025-08-08,3,173.19,185.8,56,705.88,7.28,take_profit
PLTR,2025-09-19,2025-09-22,3,182.35,179.41,54,-158.76,-1.61,sell
PLTR,2025-11-03,2025-11-04,1,207.39,190.53,46,-775.56,-8.13,stop_loss
QCOM,2025-08-28,2025-09-02,5,160.79,158.76,53,-107.59,-1.26,sell
QCOM,2025-10-27,2025-10-28,1,187.65,181.03,51,-337.62,-3.53,stop_loss
QCOM,2026-04-30,2026-05-01,1,179.64,177.03,58,-151.38,-1.45,sell
QCOM,2026-05-06,2026-05-08,2,192.66,219.19,54,1432.89,13.77,take_profit
